# file...... output/LOAD2_data.csv
# date...... Sat May  7 09:16:15 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD2:base_power_B, Bus47:measured_power.real, Bus47:measured_power.imag, inv_2_sol:VA_Out.real, inv_2_batt:VA_Out.real, Bus47:measured_voltage_B.real, Bus47:measured_voltage_B.imag, Bus47:measured_current_B.real, Bus47:measured_current_B.imag, batt_2:state_of_charge
2019-04-21 00:00:00 GMT,+7461.98,+3000,+4477.19,+0,+2969.59,-208.491,-122.1,-27.1493,+5.57468,+0.5
2019-04-21 00:01:00 GMT,+7461.98,+3000,+4477.19,+0,+2969.59,-208.491,-122.1,-27.1493,+5.57468,+0.498925
2019-04-21 00:02:00 GMT,+7461.98,+3000,+4477.19,+0,+2969.59,-208.491,-122.1,-27.1493,+5.57468,+0.49785
2019-04-21 00:03:00 GMT,+7461.98,+3000,+4477.19,+0,+2969.59,-208.491,-122.1,-27.1493,+5.57468,+0.496775
2019-04-21 00:04:00 GMT,+7461.98,+3000,+4477.19,+0,+2969.59,-208.491,-122.1,-27.1493,+5.57468,+0.4957
2019-04-21 00:05:00 GMT,+7579.61,+3063.69,+4547.77,+0,+3000,-208.054,-121.762,-27.6578,+5.67207,+0.494626
2019-04-21 00:06:00 GMT,+7579.61,+3063.69,+4547.77,+0,+3000,-208.054,-121.762,-27.6578,+5.67207,+0.493539
2019-04-21 00:07:00 GMT,+7579.61,+3063.69,+4547.77,+0,+3000,-208.054,-121.762,-27.6578,+5.67207,+0.492453
2019-04-21 00:08:00 GMT,+7579.61,+3063.69,+4547.77,+0,+3000,-208.054,-121.762,-27.6578,+5.67207,+0.491367
2019-04-21 00:09:00 GMT,+7579.61,+3063.69,+4547.77,+0,+3000,-208.054,-121.762,-27.6578,+5.67207,+0.490281
2019-04-21 00:10:00 GMT,+7665.44,+3132.36,+4599.27,+0,+3000,-207.712,-121.493,-28.0603,+5.72969,+0.489194
2019-04-21 00:11:00 GMT,+7665.44,+3132.36,+4599.27,+0,+3000,-207.712,-121.493,-28.0603,+5.72969,+0.488108
2019-04-21 00:12:00 GMT,+7665.44,+3132.36,+4599.27,+0,+3000,-207.712,-121.493,-28.0603,+5.72969,+0.487022
2019-04-21 00:13:00 GMT,+7665.44,+3132.36,+4599.27,+0,+3000,-207.712,-121.493,-28.0603,+5.72969,+0.485935
2019-04-21 00:14:00 GMT,+7665.44,+3132.36,+4599.27,+0,+3000,-207.712,-121.493,-28.0603,+5.72969,+0.484849
2019-04-21 00:15:00 GMT,+7719.48,+3175.58,+4631.69,+0,+3000,-207.487,-121.344,-28.3148,+5.76355,+0.483763
2019-04-21 00:16:00 GMT,+7719.48,+3175.58,+4631.69,+0,+3000,-207.487,-121.344,-28.3148,+5.76355,+0.482677
2019-04-21 00:17:00 GMT,+7719.48,+3175.58,+4631.69,+0,+3000,-207.487,-121.344,-28.3148,+5.76355,+0.48159
2019-04-21 00:18:00 GMT,+7719.48,+3175.58,+4631.69,+0,+3000,-207.487,-121.344,-28.3148,+5.76355,+0.480504
2019-04-21 00:19:00 GMT,+7719.48,+3175.58,+4631.69,+0,+3000,-207.487,-121.344,-28.3148,+5.76355,+0.479418
2019-04-21 00:20:00 GMT,+7741.72,+3193.38,+4645.03,+0,+3000,-207.352,-121.251,-28.4257,+5.77941,+0.478332
2019-04-21 00:21:00 GMT,+7741.72,+3193.38,+4645.03,+0,+3000,-207.352,-121.251,-28.4257,+5.77941,+0.477245
2019-04-21 00:22:00 GMT,+7741.72,+3193.38,+4645.03,+0,+3000,-207.352,-121.251,-28.4257,+5.77941,+0.476159
2019-04-21 00:23:00 GMT,+7741.72,+3193.38,+4645.03,+0,+3000,-207.352,-121.251,-28.4257,+5.77941,+0.475073
2019-04-21 00:24:00 GMT,+7741.72,+3193.38,+4645.03,+0,+3000,-207.352,-121.251,-28.4257,+5.77941,+0.473987
2019-04-21 00:25:00 GMT,+7732.16,+3185.73,+4639.3,+0,+3000,-207.308,-121.217,-28.3926,+5.7771,+0.4729
2019-04-21 00:26:00 GMT,+7732.16,+3185.73,+4639.3,+0,+3000,-207.308,-121.217,-28.3926,+5.7771,+0.471814
2019-04-21 00:27:00 GMT,+7732.16,+3185.73,+4639.3,+0,+3000,-207.308,-121.217,-28.3926,+5.7771,+0.470728
2019-04-21 00:28:00 GMT,+7732.16,+3185.73,+4639.3,+0,+3000,-207.308,-121.217,-28.3926,+5.7771,+0.469642
2019-04-21 00:29:00 GMT,+7732.16,+3185.73,+4639.3,+0,+3000,-207.308,-121.217,-28.3926,+5.7771,+0.468555
2019-04-21 00:30:00 GMT,+7593.43,+3074.74,+4556.06,+0,+3000,-207.53,-121.365,-27.7882,+5.703,+0.467469
2019-04-21 00:31:00 GMT,+7593.43,+3074.74,+4556.06,+0,+3000,-207.53,-121.365,-27.7882,+5.703,+0.466383
2019-04-21 00:32:00 GMT,+7593.43,+3074.74,+4556.06,+0,+3000,-207.53,-121.365,-27.7882,+5.703,+0.465297
2019-04-21 00:33:00 GMT,+7593.43,+3074.74,+4556.06,+0,+3000,-207.53,-121.365,-27.7882,+5.703,+0.46421
2019-04-21 00:34:00 GMT,+7593.43,+3074.74,+4556.06,+0,+3000,-207.53,-121.365,-27.7882,+5.703,+0.463124
2019-04-21 00:35:00 GMT,+7512.96,+3010.37,+4507.77,+0,+3000,-207.725,-121.49,-27.4295,+5.65827,+0.462038
2019-04-21 00:36:00 GMT,+7512.96,+3010.37,+4507.77,+0,+3000,-207.725,-121.49,-27.4295,+5.65827,+0.460951
2019-04-21 00:37:00 GMT,+7512.96,+3010.12,+4507.77,+0.250206,+3000,-207.725,-121.491,-27.4291,+5.6584,+0.459865
2019-04-21 00:38:00 GMT,+7512.96,+3008.8,+4507.77,+1.56069,+3000,-207.726,-121.493,-27.4274,+5.65911,+0.458779
2019-04-21 00:39:00 GMT,+7512.96,+3006.43,+4507.77,+3.93851,+3000,-207.728,-121.497,-27.4242,+5.6604,+0.457693
2019-04-21 00:40:00 GMT,+7471.76,+2966.21,+4483.05,+11.1851,+3000,-207.893,-121.622,-27.2227,+5.63831,+0.456606
2019-04-21 00:41:00 GMT,+7471.76,+2962.84,+4483.05,+14.5595,+3000,-207.896,-121.628,-27.2182,+5.64013,+0.45552
2019-04-21 00:42:00 GMT,+7471.76,+2956.31,+4483.05,+21.0949,+3000,-207.901,-121.639,-27.2094,+5.64367,+0.454434
2019-04-21 00:43:00 GMT,+7471.76,+2956.89,+4483.05,+20.5135,+3000,-207.9,-121.638,-27.2102,+5.64336,+0.453348
2019-04-21 00:44:00 GMT,+7471.76,+2969.51,+4483.05,+7.89366,+3000,-207.891,-121.617,-27.2271,+5.63653,+0.452261
2019-04-21 00:45:00 GMT,+7448.79,+2959.03,+4469.27,+0,+3000,-208.031,-121.698,-27.1236,+5.61644,+0.451175
2019-04-21 00:46:00 GMT,+7448.79,+2959.03,+4469.27,+0,+3000,-208.031,-121.698,-27.1236,+5.61644,+0.450089
2019-04-21 00:47:00 GMT,+7448.79,+2959.03,+4469.27,+0,+3000,-208.031,-121.698,-27.1236,+5.61644,+0.449003
2019-04-21 00:48:00 GMT,+7448.79,+2959.03,+4469.27,+0,+3000,-208.031,-121.698,-27.1236,+5.61644,+0.447916
2019-04-21 00:49:00 GMT,+7448.79,+2959.03,+4469.27,+0,+3000,-208.031,-121.698,-27.1236,+5.61644,+0.44683
2019-04-21 00:50:00 GMT,+7385.83,+2908.66,+4431.5,+0,+3000,-208.166,-121.816,-26.8452,+5.57881,+0.445744
2019-04-21 00:51:00 GMT,+7385.83,+2908.66,+4431.5,+0,+3000,-208.166,-121.816,-26.8452,+5.57881,+0.444658
2019-04-21 00:52:00 GMT,+7385.83,+2908.66,+4431.5,+0,+3000,-208.166,-121.816,-26.8452,+5.57881,+0.443571
2019-04-21 00:53:00 GMT,+7385.83,+2907.5,+4431.5,+1.16067,+3000,-208.167,-121.818,-26.8437,+5.57944,+0.442485
2019-04-21 00:54:00 GMT,+7385.83,+2901.76,+4431.5,+6.90232,+3000,-208.171,-121.828,-26.836,+5.58256,+0.441399
2019-04-21 00:55:00 GMT,+7373.63,+2890.71,+4424.18,+8.18774,+3000,-208.209,-121.861,-26.7789,+5.57547,+0.440313
2019-04-21 00:56:00 GMT,+7373.63,+2895.16,+4424.18,+3.74313,+3000,-208.206,-121.854,-26.7848,+5.57305,+0.439226
2019-04-21 00:57:00 GMT,+7373.63,+2898.9,+4424.18,+0,+3000,-208.203,-121.848,-26.7898,+5.57102,+0.43814
2019-04-21 00:58:00 GMT,+7373.63,+2898.9,+4424.18,+0,+3000,-208.203,-121.848,-26.7898,+5.57102,+0.437054
2019-04-21 00:59:00 GMT,+7373.63,+2896.3,+4424.18,+2.60582,+3000,-208.205,-121.852,-26.7863,+5.57243,+0.435967
2019-04-21 01:00:00 GMT,+7403.28,+2920.05,+4441.97,+2.57009,+3000,-208.213,-121.865,-26.9071,+5.58528,+0.434881
2019-04-21 01:01:00 GMT,+7403.28,+2921.16,+4441.97,+1.4599,+3000,-208.213,-121.863,-26.9086,+5.58468,+0.433795
2019-04-21 01:02:00 GMT,+7403.28,+2922.61,+4441.97,+0.0116787,+3000,-208.212,-121.861,-26.9105,+5.58389,+0.432709
2019-04-21 01:03:00 GMT,+7403.28,+2922.62,+4441.97,+0,+3000,-208.212,-121.861,-26.9105,+5.58388,+0.431622
2019-04-21 01:04:00 GMT,+7403.28,+2922.62,+4441.97,+0,+3000,-208.212,-121.861,-26.9105,+5.58388,+0.430536
2019-04-21 01:05:00 GMT,+7366.61,+2893.29,+4419.97,+0,+3000,-208.205,-121.856,-26.7604,+5.56684,+0.42945
2019-04-21 01:06:00 GMT,+7366.61,+2893.29,+4419.97,+0,+3000,-208.205,-121.856,-26.7604,+5.56684,+0.428364
2019-04-21 01:07:00 GMT,+7366.61,+2893.29,+4419.97,+0,+3000,-208.205,-121.856,-26.7604,+5.56684,+0.427277
2019-04-21 01:08:00 GMT,+7366.61,+2893.29,+4419.97,+0,+3000,-208.205,-121.856,-26.7604,+5.56684,+0.426191
2019-04-21 01:09:00 GMT,+7366.61,+2893.29,+4419.97,+0,+3000,-208.205,-121.856,-26.7604,+5.56684,+0.425105
2019-04-21 01:10:00 GMT,+7292,+2833.6,+4375.2,+0,+3000,-208.211,-121.837,-26.4532,+5.53398,+0.424019
2019-04-21 01:11:00 GMT,+7292,+2833.6,+4375.2,+0,+3000,-208.211,-121.837,-26.4532,+5.53398,+0.422932
2019-04-21 01:12:00 GMT,+7292,+2833.6,+4375.2,+0,+3000,-208.211,-121.837,-26.4532,+5.53398,+0.421846
2019-04-21 01:13:00 GMT,+7292,+2833.6,+4375.2,+0,+3000,-208.211,-121.837,-26.4532,+5.53398,+0.42076
2019-04-21 01:14:00 GMT,+7292,+2833.6,+4375.2,+0,+3000,-208.211,-121.837,-26.4532,+5.53398,+0.419674
2019-04-21 01:15:00 GMT,+7177.33,+2741.86,+4306.4,+0,+3000,-208.232,-121.86,-25.9779,+5.47814,+0.418587
2019-04-21 01:16:00 GMT,+7177.33,+2741.86,+4306.4,+0,+3000,-208.232,-121.86,-25.9779,+5.47814,+0.417501
2019-04-21 01:17:00 GMT,+7177.33,+2741.86,+4306.4,+0,+3000,-208.232,-121.86,-25.9779,+5.47814,+0.416415
2019-04-21 01:18:00 GMT,+7177.33,+2741.86,+4306.4,+0,+3000,-208.232,-121.86,-25.9779,+5.47814,+0.415329
2019-04-21 01:19:00 GMT,+7177.33,+2741.86,+4306.4,+0,+3000,-208.232,-121.86,-25.9779,+5.47814,+0.414242
2019-04-21 01:20:00 GMT,+7154.32,+2723.45,+4292.59,+0,+3000,-208.3,-121.888,-25.8751,+5.46678,+0.413156
2019-04-21 01:21:00 GMT,+7154.32,+2723.45,+4292.59,+0,+3000,-208.3,-121.888,-25.8751,+5.46678,+0.41207
2019-04-21 01:22:00 GMT,+7154.32,+2723.45,+4292.59,+0,+3000,-208.3,-121.888,-25.8751,+5.46678,+0.410983
2019-04-21 01:23:00 GMT,+7154.32,+2723.45,+4292.59,+0,+3000,-208.3,-121.888,-25.8751,+5.46678,+0.409897
2019-04-21 01:24:00 GMT,+7154.32,+2723.45,+4292.59,+0,+3000,-208.3,-121.888,-25.8751,+5.46678,+0.408811
2019-04-21 01:25:00 GMT,+7163.09,+2730.47,+4297.85,+0,+3000,-208.311,-121.91,-25.9093,+5.46892,+0.407725
2019-04-21 01:26:00 GMT,+7163.09,+2730.47,+4297.85,+0,+3000,-208.311,-121.91,-25.9093,+5.46892,+0.406638
2019-04-21 01:27:00 GMT,+7163.09,+2730.47,+4297.85,+0,+3000,-208.311,-121.91,-25.9093,+5.46892,+0.405552
2019-04-21 01:28:00 GMT,+7163.09,+2730.47,+4297.85,+0,+3000,-208.311,-121.91,-25.9093,+5.46892,+0.404466
2019-04-21 01:29:00 GMT,+7163.09,+2730.47,+4297.85,+0,+3000,-208.311,-121.91,-25.9093,+5.46892,+0.40338
2019-04-21 01:30:00 GMT,+7178.23,+2742.58,+4306.94,+0,+3000,-208.337,-121.938,-25.9679,+5.47407,+0.402293
2019-04-21 01:31:00 GMT,+7178.23,+2742.58,+4306.94,+0,+3000,-208.337,-121.938,-25.9679,+5.47407,+0.401207
2019-04-21 01:32:00 GMT,+7178.23,+2742.58,+4306.94,+0,+3000,-208.337,-121.938,-25.9679,+5.47407,+0.400121
2019-04-21 01:33:00 GMT,+7178.23,+2742.58,+4306.94,+0,+3000,-208.337,-121.938,-25.9679,+5.47407,+0.399035
2019-04-21 01:34:00 GMT,+7178.23,+2742.58,+4306.94,+0,+3000,-208.337,-121.938,-25.9679,+5.47407,+0.397948
2019-04-21 01:35:00 GMT,+7239.72,+2791.78,+4343.83,+0,+3000,-208.429,-121.973,-26.2101,+5.50256,+0.396862
2019-04-21 01:36:00 GMT,+7239.72,+2791.78,+4343.83,+0,+3000,-208.429,-121.973,-26.2101,+5.50256,+0.395776
2019-04-21 01:37:00 GMT,+7239.72,+2791.78,+4343.83,+0,+3000,-208.429,-121.973,-26.2101,+5.50256,+0.39469
2019-04-21 01:38:00 GMT,+7239.72,+2791.78,+4343.83,+0,+3000,-208.429,-121.973,-26.2101,+5.50256,+0.393603
2019-04-21 01:39:00 GMT,+7239.72,+2791.78,+4343.83,+0,+3000,-208.429,-121.973,-26.2101,+5.50256,+0.392517
2019-04-21 01:40:00 GMT,+7231.46,+2785.17,+4338.88,+0,+3000,-208.462,-121.988,-26.1722,+5.49835,+0.391431
2019-04-21 01:41:00 GMT,+7231.46,+2785.17,+4338.88,+0,+3000,-208.462,-121.988,-26.1722,+5.49835,+0.390345
2019-04-21 01:42:00 GMT,+7231.46,+2785.17,+4338.88,+0,+3000,-208.462,-121.988,-26.1722,+5.49835,+0.389258
2019-04-21 01:43:00 GMT,+7231.46,+2785.17,+4338.88,+0,+3000,-208.462,-121.988,-26.1722,+5.49835,+0.388172
2019-04-21 01:44:00 GMT,+7231.46,+2785.17,+4338.88,+0,+3000,-208.462,-121.988,-26.1722,+5.49835,+0.387086
2019-04-21 01:45:00 GMT,+7226,+2780.8,+4335.6,+0,+3000,-208.455,-121.983,-26.1506,+5.49601,+0.386
2019-04-21 01:46:00 GMT,+7226,+2780.8,+4335.6,+0,+3000,-208.455,-121.983,-26.1506,+5.49601,+0.384913
2019-04-21 01:47:00 GMT,+7226,+2780.8,+4335.6,+0,+3000,-208.455,-121.983,-26.1506,+5.49601,+0.383827
2019-04-21 01:48:00 GMT,+7226,+2780.8,+4335.6,+0,+3000,-208.455,-121.983,-26.1506,+5.49601,+0.382741
2019-04-21 01:49:00 GMT,+7226,+2780.8,+4335.6,+0,+3000,-208.455,-121.983,-26.1506,+5.49601,+0.381654
2019-04-21 01:50:00 GMT,+7165.75,+2732.6,+4299.45,+0,+3000,-208.489,-121.985,-25.8991,+5.46859,+0.380568
2019-04-21 01:51:00 GMT,+7165.75,+2732.6,+4299.45,+0,+3000,-208.489,-121.985,-25.8991,+5.46859,+0.379482
2019-04-21 01:52:00 GMT,+7165.75,+2732.6,+4299.45,+0,+3000,-208.489,-121.985,-25.8991,+5.46859,+0.378396
2019-04-21 01:53:00 GMT,+7165.75,+2732.6,+4299.45,+0,+3000,-208.489,-121.985,-25.8991,+5.46859,+0.377309
2019-04-21 01:54:00 GMT,+7165.75,+2732.6,+4299.45,+0,+3000,-208.489,-121.985,-25.8991,+5.46859,+0.376223
2019-04-21 01:55:00 GMT,+7137.28,+2709.82,+4282.37,+0,+3000,-208.491,-121.968,-25.7824,+5.457,+0.375137
2019-04-21 01:56:00 GMT,+7137.28,+2709.82,+4282.37,+0,+3000,-208.491,-121.968,-25.7824,+5.457,+0.374051
2019-04-21 01:57:00 GMT,+7137.28,+2709.82,+4282.37,+0,+3000,-208.491,-121.968,-25.7824,+5.457,+0.372964
2019-04-21 01:58:00 GMT,+7137.28,+2709.82,+4282.37,+0,+3000,-208.491,-121.968,-25.7824,+5.457,+0.371878
2019-04-21 01:59:00 GMT,+7137.28,+2709.82,+4282.37,+0,+3000,-208.491,-121.968,-25.7824,+5.457,+0.370792
2019-04-21 02:00:00 GMT,+7063.72,+2650.97,+4238.23,+0,+3000,-208.529,-121.982,-25.4755,+5.42219,+0.369706
2019-04-21 02:01:00 GMT,+7063.72,+2650.97,+4238.23,+0,+3000,-208.529,-121.982,-25.4755,+5.42219,+0.368619
2019-04-21 02:02:00 GMT,+7063.72,+2650.97,+4238.23,+0,+3000,-208.529,-121.982,-25.4755,+5.42219,+0.367533
2019-04-21 02:03:00 GMT,+7063.72,+2650.97,+4238.23,+0,+3000,-208.529,-121.982,-25.4755,+5.42219,+0.366447
2019-04-21 02:04:00 GMT,+7063.72,+2650.97,+4238.23,+0,+3000,-208.529,-121.982,-25.4755,+5.42219,+0.365361
2019-04-21 02:05:00 GMT,+7044.82,+2635.85,+4226.89,+0,+3000,-208.58,-122.013,-25.3915,+5.41178,+0.364274
2019-04-21 02:06:00 GMT,+7044.82,+2635.85,+4226.89,+0,+3000,-208.58,-122.013,-25.3915,+5.41178,+0.363188
2019-04-21 02:07:00 GMT,+7044.82,+2635.85,+4226.89,+0,+3000,-208.58,-122.013,-25.3915,+5.41178,+0.362102
2019-04-21 02:08:00 GMT,+7044.82,+2635.85,+4226.89,+0,+3000,-208.58,-122.013,-25.3915,+5.41178,+0.361016
2019-04-21 02:09:00 GMT,+7044.82,+2635.85,+4226.89,+0,+3000,-208.58,-122.013,-25.3915,+5.41178,+0.359929
2019-04-21 02:10:00 GMT,+7096.19,+2676.95,+4257.71,+0,+3000,-208.636,-122.056,-25.5955,+5.43347,+0.358843
2019-04-21 02:11:00 GMT,+7096.19,+2676.95,+4257.71,+0,+3000,-208.636,-122.056,-25.5955,+5.43347,+0.357757
2019-04-21 02:12:00 GMT,+7096.19,+2676.95,+4257.71,+0,+3000,-208.636,-122.056,-25.5955,+5.43347,+0.35667
2019-04-21 02:13:00 GMT,+7096.19,+2676.95,+4257.71,+0,+3000,-208.636,-122.056,-25.5955,+5.43347,+0.355584
2019-04-21 02:14:00 GMT,+7096.19,+2676.95,+4257.71,+0,+3000,-208.636,-122.056,-25.5955,+5.43347,+0.354498
2019-04-21 02:15:00 GMT,+7183.23,+2746.58,+4309.94,+0,+3000,-208.599,-122.077,-25.9564,+5.47101,+0.353412
2019-04-21 02:16:00 GMT,+7183.23,+2746.58,+4309.94,+0,+3000,-208.599,-122.077,-25.9564,+5.47101,+0.352325
2019-04-21 02:17:00 GMT,+7183.23,+2746.58,+4309.94,+0,+3000,-208.599,-122.077,-25.9564,+5.47101,+0.351239
2019-04-21 02:18:00 GMT,+7183.23,+2746.58,+4309.94,+0,+3000,-208.599,-122.077,-25.9564,+5.47101,+0.350153
2019-04-21 02:19:00 GMT,+7183.23,+2746.58,+4309.94,+0,+3000,-208.599,-122.077,-25.9564,+5.47101,+0.349067
2019-04-21 02:20:00 GMT,+7253.38,+2802.7,+4352.03,+0,+3000,-208.609,-122.105,-26.2427,+5.50156,+0.34798
2019-04-21 02:21:00 GMT,+7253.38,+2802.7,+4352.03,+0,+3000,-208.609,-122.105,-26.2427,+5.50156,+0.346894
2019-04-21 02:22:00 GMT,+7253.38,+2802.7,+4352.03,+0,+3000,-208.609,-122.105,-26.2427,+5.50156,+0.345808
2019-04-21 02:23:00 GMT,+7253.38,+2802.7,+4352.03,+0,+3000,-208.609,-122.105,-26.2427,+5.50156,+0.344722
2019-04-21 02:24:00 GMT,+7253.38,+2802.7,+4352.03,+0,+3000,-208.609,-122.105,-26.2427,+5.50156,+0.343635
2019-04-21 02:25:00 GMT,+7265.18,+2812.14,+4359.11,+0,+3000,-208.694,-122.157,-26.2804,+5.50455,+0.342549
2019-04-21 02:26:00 GMT,+7265.18,+2812.14,+4359.11,+0,+3000,-208.694,-122.157,-26.2804,+5.50455,+0.341463
2019-04-21 02:27:00 GMT,+7265.18,+2812.14,+4359.11,+0,+3000,-208.694,-122.157,-26.2804,+5.50455,+0.340377
2019-04-21 02:28:00 GMT,+7265.18,+2812.14,+4359.11,+0,+3000,-208.694,-122.157,-26.2804,+5.50455,+0.33929
2019-04-21 02:29:00 GMT,+7265.18,+2812.14,+4359.11,+0,+3000,-208.694,-122.157,-26.2804,+5.50455,+0.338204
2019-04-21 02:30:00 GMT,+7313.26,+2850.61,+4387.96,+0,+3000,-208.635,-122.134,-26.4851,+5.52751,+0.337118
2019-04-21 02:31:00 GMT,+7313.26,+2850.61,+4387.96,+0,+3000,-208.635,-122.134,-26.4851,+5.52751,+0.336032
2019-04-21 02:32:00 GMT,+7313.26,+2850.61,+4387.96,+0,+3000,-208.635,-122.134,-26.4851,+5.52751,+0.334945
2019-04-21 02:33:00 GMT,+7313.26,+2850.61,+4387.96,+0,+3000,-208.635,-122.134,-26.4851,+5.52751,+0.333859
2019-04-21 02:34:00 GMT,+7313.26,+2850.61,+4387.96,+0,+3000,-208.635,-122.134,-26.4851,+5.52751,+0.332773
2019-04-21 02:35:00 GMT,+7383.01,+2906.41,+4429.8,+0,+3000,-208.579,-122.121,-26.7781,+5.55966,+0.331686
2019-04-21 02:36:00 GMT,+7383.01,+2906.41,+4429.8,+0,+3000,-208.579,-122.121,-26.7781,+5.55966,+0.3306
2019-04-21 02:37:00 GMT,+7383.01,+2906.41,+4429.8,+0,+3000,-208.579,-122.121,-26.7781,+5.55966,+0.329514
2019-04-21 02:38:00 GMT,+7383.01,+2906.41,+4429.8,+0,+3000,-208.579,-122.121,-26.7781,+5.55966,+0.328428
2019-04-21 02:39:00 GMT,+7383.01,+2906.41,+4429.8,+0,+3000,-208.579,-122.121,-26.7781,+5.55966,+0.327341
2019-04-21 02:40:00 GMT,+7394.43,+2915.54,+4436.65,+0,+3000,-208.562,-122.111,-26.8272,+5.56547,+0.326255
2019-04-21 02:41:00 GMT,+7394.43,+2915.54,+4436.65,+0,+3000,-208.562,-122.111,-26.8272,+5.56547,+0.325169
2019-04-21 02:42:00 GMT,+7394.43,+2915.54,+4436.65,+0,+3000,-208.562,-122.111,-26.8272,+5.56547,+0.324083
2019-04-21 02:43:00 GMT,+7394.43,+2915.54,+4436.65,+0,+3000,-208.562,-122.111,-26.8272,+5.56547,+0.322996
2019-04-21 02:44:00 GMT,+7394.43,+2915.54,+4436.65,+0,+3000,-208.562,-122.111,-26.8272,+5.56547,+0.32191
2019-04-21 02:45:00 GMT,+7331.47,+2865.18,+4398.88,+0,+3000,-208.543,-122.102,-26.5708,+5.53622,+0.320824
2019-04-21 02:46:00 GMT,+7331.47,+2865.18,+4398.88,+0,+3000,-208.543,-122.102,-26.5708,+5.53622,+0.319738
2019-04-21 02:47:00 GMT,+7331.47,+2865.18,+4398.88,+0,+3000,-208.543,-122.102,-26.5708,+5.53622,+0.318651
2019-04-21 02:48:00 GMT,+7331.47,+2865.18,+4398.88,+0,+3000,-208.543,-122.102,-26.5708,+5.53622,+0.317565
2019-04-21 02:49:00 GMT,+7331.47,+2865.18,+4398.88,+0,+3000,-208.543,-122.102,-26.5708,+5.53622,+0.316479
2019-04-21 02:50:00 GMT,+7263.71,+2810.97,+4358.23,+0,+3000,-208.541,-122.105,-26.2923,+5.50395,+0.315393
2019-04-21 02:51:00 GMT,+7263.71,+2810.97,+4358.23,+0,+3000,-208.541,-122.105,-26.2923,+5.50395,+0.314306
2019-04-21 02:52:00 GMT,+7263.71,+2810.97,+4358.23,+0,+3000,-208.541,-122.105,-26.2923,+5.50395,+0.31322
2019-04-21 02:53:00 GMT,+7263.71,+2810.97,+4358.23,+0,+3000,-208.541,-122.105,-26.2923,+5.50395,+0.312134
2019-04-21 02:54:00 GMT,+7263.71,+2810.97,+4358.23,+0,+3000,-208.541,-122.105,-26.2923,+5.50395,+0.311048
2019-04-21 02:55:00 GMT,+7254.78,+2803.82,+4352.87,+0,+3000,-208.525,-122.099,-26.2575,+5.49979,+0.309961
2019-04-21 02:56:00 GMT,+7254.78,+2803.82,+4352.87,+0,+3000,-208.525,-122.099,-26.2575,+5.49979,+0.308875
2019-04-21 02:57:00 GMT,+7254.78,+2803.82,+4352.87,+0,+3000,-208.525,-122.099,-26.2575,+5.49979,+0.307789
2019-04-21 02:58:00 GMT,+7254.78,+2803.82,+4352.87,+0,+3000,-208.525,-122.099,-26.2575,+5.49979,+0.306702
2019-04-21 02:59:00 GMT,+7254.78,+2803.82,+4352.87,+0,+3000,-208.525,-122.099,-26.2575,+5.49979,+0.305616
2019-04-21 03:00:00 GMT,+7224.02,+2779.22,+4334.41,+0,+3000,-208.492,-122.08,-26.1352,+5.48626,+0.30453
2019-04-21 03:01:00 GMT,+7224.02,+2779.22,+4334.41,+0,+3000,-208.492,-122.08,-26.1352,+5.48626,+0.303444
2019-04-21 03:02:00 GMT,+7224.02,+2779.22,+4334.41,+0,+3000,-208.492,-122.08,-26.1352,+5.48626,+0.302357
2019-04-21 03:03:00 GMT,+7224.02,+2779.22,+4334.41,+0,+3000,-208.492,-122.08,-26.1352,+5.48626,+0.301271
2019-04-21 03:04:00 GMT,+7224.02,+2779.22,+4334.41,+0,+3000,-208.492,-122.08,-26.1352,+5.48626,+0.300185
2019-04-21 03:05:00 GMT,+7280.41,+2824.33,+4368.24,+0,+3000,-208.444,-122.064,-26.3727,+5.5127,+0.299099
2019-04-21 03:06:00 GMT,+7280.41,+2824.33,+4368.24,+0,+3000,-208.444,-122.064,-26.3727,+5.5127,+0.298012
2019-04-21 03:07:00 GMT,+7280.41,+2824.33,+4368.24,+0,+3000,-208.444,-122.064,-26.3727,+5.5127,+0.296926
2019-04-21 03:08:00 GMT,+7280.41,+2824.33,+4368.24,+0,+3000,-208.444,-122.064,-26.3727,+5.5127,+0.29584
2019-04-21 03:09:00 GMT,+7280.41,+2824.33,+4368.24,+0,+3000,-208.444,-122.064,-26.3727,+5.5127,+0.294754
2019-04-21 03:10:00 GMT,+7242.53,+2794.02,+4345.52,+0,+3000,-208.436,-122.052,-26.2181,+5.49585,+0.293667
2019-04-21 03:11:00 GMT,+7242.53,+2794.02,+4345.52,+0,+3000,-208.436,-122.052,-26.2181,+5.49585,+0.292581
2019-04-21 03:12:00 GMT,+7242.53,+2794.02,+4345.52,+0,+3000,-208.436,-122.052,-26.2181,+5.49585,+0.291495
2019-04-21 03:13:00 GMT,+7242.53,+2794.02,+4345.52,+0,+3000,-208.436,-122.052,-26.2181,+5.49585,+0.290409
2019-04-21 03:14:00 GMT,+7242.53,+2794.02,+4345.52,+0,+3000,-208.436,-122.052,-26.2181,+5.49585,+0.289322
2019-04-21 03:15:00 GMT,+7275.12,+2820.09,+4365.07,+0,+3000,-208.54,-122.107,-26.3393,+5.50904,+0.288236
